step,train_loss,train_acc,dev_loss,dev_acc
0,1.1619539260864258,0.31287426,[],[]
1,1.034912109375,0.35525763,[],[]
2,1.3689663410186768,0.25436977,[],[]
3,1.0609385967254639,0.3461308,[],[]
4,1.3202452659606934,0.2670698,[],[]
5,0.7749379277229309,0.4607324,[],[]
6,0.9064663052558899,0.40394914,[],[]
7,1.1147663593292236,0.3279919,[],[]
8,0.721067488193512,0.4862329,[],[]
9,0.8022953271865845,0.44829878,[],[]
10,0.7808509469032288,0.4580161,[],[]
11,1.4253087043762207,0.24043423,[],[]
12,0.7378301024436951,0.4781503,[],[]
13,1.4610053300857544,0.23200291,[],[]
14,1.4248651266098022,0.24054089,[],[]
15,1.27689790725708,0.27890113,[],[]
16,0.7140215039253235,0.48967102,[],[]
17,0.6415700912475586,0.5264652,[],[]
18,1.2633802890777588,0.28269684,[],[]
19,1.2604100704193115,0.28353772,[],[]
20,1.2644572257995605,0.2823925,[],[]
21,0.6409887671470642,0.5267713,[],[]
22,1.2174408435821533,0.29598668,[],[]
23,1.785873532295227,0.16765055,[],[]
24,0.6101022958755493,0.54329526,[],[]
25,1.8533449172973633,0.15671211,[],[]
26,1.2493940591812134,0.28667843,[],[]
27,1.6618986129760742,0.18977834,[],[]
28,1.1000277996063232,0.33286184,[],[]
29,0.7831695079803467,0.4569554,[],[]
30,1.13852858543396,0.32028994,[],[]
31,1.729044795036316,0.17745385,[],[]
32,0.7832671999931335,0.45691073,[],[]
33,0.7964099049568176,0.45094502,[],[]
34,1.0899102687835693,0.33624667,[],[]
35,1.341612696647644,0.26142374,[],[]
36,0.6321027278900146,0.5314731,[],[]
37,0.8388735055923462,0.43219712,[],[]
38,1.4675638675689697,0.2304863,[],[]
39,0.6822303533554077,0.50548834,[],[]
40,1.428269863128662,0.23972331,[],[]
41,1.405768871307373,0.24517848,[],[]
42,1.1043955087661743,0.33141115,[],[]
43,1.167560338973999,0.31112507,[],[]
44,0.9413729310035706,0.3900919,[],[]
45,1.106400966644287,0.33074722,[],[]
46,0.7762407064437866,0.46013254,[],[]
47,0.8336300253868103,0.43446928,[],[]
48,0.899162232875824,0.40691042,[],[]
49,0.7749210000038147,0.46074018,[],[]
50,1.2301247119903564,0.2922561,[],[]
51,1.1685235500335693,0.31082553,[],[]
52,1.2428944110870361,0.28854784,[],[]
53,1.390184998512268,0.24902922,[],[]
54,1.148047924041748,0.31725547,[],[]
55,0.6898229718208313,0.5016649,[],[]
56,1.2833349704742432,0.2771116,[],[]
57,0.6762304902076721,0.5085303,[],[]
58,1.2414957284927368,0.2889517,[],[]
59,1.3493398427963257,0.25941145,[],[]
60,1.1556205749511719,0.3148621,[],[]
61,0.6908080577850342,0.50117093,[],[]
62,1.1446900367736816,0.31832254,[],[]
63,0.8843218088150024,0.41299418,[],[]
64,1.3337442874908447,0.26348883,[],[]
65,1.2115057706832886,0.29774857,[],[]
66,1.5572483539581299,0.21071509,[],[]
67,1.2894198894500732,0.27543053,[],[]
68,1.0087252855300903,0.36468354,[],[]
69,0.9211421012878418,0.39806414,[],[]
70,0.8689834475517273,0.41937765,[],[]
71,1.4397962093353271,0.23697607,[],[]
72,0.9277486801147461,0.395443,[],[]
73,0.8986843228340149,0.40710494,[],[]
74,1.3719170093536377,0.2536203,[],[]
75,1.4181357622146606,0.24216506,[],[]
76,1.3244996070861816,0.26593602,[],[]
77,1.3151729106903076,0.2684279,[],[]
78,1.2211014032363892,0.2949052,[],[]
79,0.9023903012275696,0.405599,[],[]
80,0.982926607131958,0.37421432,[],[]
81,0.8911444544792175,0.41018602,[],[]
82,1.1237928867340088,0.32504457,[],[]
83,1.0943506956100464,0.33475688,[],[]
84,0.7970507740974426,0.4506561,[],[]
85,0.7871372699737549,0.45514587,[],[]
86,0.8651624321937561,0.42098317,[],[]
87,1.286901831626892,0.27612492,[],[]
88,1.4059174060821533,0.24514204,[],[]
